"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2013";831;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2014";831;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2015";893;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2016";920;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2017";952;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2018";930;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2019";864;"-";"";
0800000;"LUBUSKIE";"total";"total";"30-34";"males total";"2020";637;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2010";272;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2011";294;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2012";335;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2013";329;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2014";377;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2015";446;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2016";420;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2017";436;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2018";497;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2019";482;"-";"";
0800000;"LUBUSKIE";"total";"total";"35-39";"males total";"2020";364;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2010";250;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2011";248;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2012";239;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2013";274;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2014";301;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2015";312;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2016";374;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2017";424;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2018";450;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2019";482;"-";"";
0800000;"LUBUSKIE";"total";"total";"40-49";"males total";"2020";451;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2010";150;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2011";159;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2012";169;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2013";148;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2014";153;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2015";182;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2016";165;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2017";181;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2018";184;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2019";195;"-";"";
0800000;"LUBUSKIE";"total";"total";"50-59";"males total";"2020";172;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2010";63;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2011";96;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2012";80;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2013";90;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2014";104;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2015";98;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2016";111;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2017";111;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2018";140;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2019";133;"-";"";
0800000;"LUBUSKIE";"total";"total";"60 and more";"males total";"2020";103;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2010";14513;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2011";12640;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2012";12616;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2013";10916;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2014";11405;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2015";11456;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2016";11712;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2017";11542;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2018";11555;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2019";11169;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"females total";"males total";"2020";8755;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2010";470;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2011";333;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2012";319;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2013";242;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2014";253;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2015";217;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2016";132;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2017";135;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2018";121;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2019";88;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"under 20 years";"males total";"2020";53;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2010";4822;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2011";3953;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2012";3927;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2013";3129;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2014";3060;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2015";3084;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2016";2893;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2017";2652;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2018";2434;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2019";2164;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"20-24";"males total";"2020";1619;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2010";6029;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2011";5290;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2012";5265;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2013";4385;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2014";4636;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2015";4645;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2016";4816;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2017";4784;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2018";4816;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2019";4691;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"25-29";"males total";"2020";3524;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2010";1719;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2011";1564;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2012";1620;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2013";1613;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2014";1764;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2015";1746;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2016";1856;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2017";1915;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2018";2020;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2019";1958;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"30-34";"males total";"2020";1552;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2010";567;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2011";595;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2012";577;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2013";593;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2014";694;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2015";729;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2016";791;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2017";767;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2018";854;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2019";919;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"35-39";"males total";"2020";709;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2010";444;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2011";434;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2012";464;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2013";480;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2014";519;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2015";555;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2016";674;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2017";719;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2018";762;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2019";774;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"40-49";"males total";"2020";792;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2010";306;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2011";288;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2012";279;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2013";315;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2014";312;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2015";290;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2016";322;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2017";335;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2018";347;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2019";319;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"50-59";"males total";"2020";295;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2010";156;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2011";183;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2012";165;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2013";159;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2014";167;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2015";190;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2016";228;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2017";235;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2018";201;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2019";256;"-";"";
1000000;"ŁÓDZKIE";"total";"total";"60 and more";"males total";"2020";211;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2010";20381;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2011";18484;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2012";18197;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2013";16614;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2014";17361;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2015";17457;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2016";18001;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2017";18305;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2018";18450;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2019";17891;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"females total";"males total";"2020";14463;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2010";893;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2011";738;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2012";683;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2013";551;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2014";453;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2015";433;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2016";347;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2017";317;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2018";290;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2019";209;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"under 20 years";"males total";"2020";164;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2010";8081;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2011";7000;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2012";6929;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2013";5964;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2014";5981;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2015";5900;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2016";5643;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2017";5389;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2018";5136;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2019";4613;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"20-24";"males total";"2020";3633;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2010";7662;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2011";7022;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2012";6889;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2013";6313;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2014";6823;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2015";6894;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2016";7239;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2017";7531;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2018";7723;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2019";7491;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"25-29";"males total";"2020";5865;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2010";2177;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2011";2132;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2012";2087;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2013";2101;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2014";2359;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2015";2422;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2016";2649;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2017";2790;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2018";2876;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2019";2924;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"30-34";"males total";"2020";2487;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2010";711;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2011";713;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2012";732;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2013";775;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2014";806;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2015";784;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2016";934;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2017";1029;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2018";1079;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2019";1201;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"35-39";"males total";"2020";1086;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2010";456;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2011";447;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2012";477;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2013";466;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2014";535;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2015";591;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2016";703;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2017";756;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2018";859;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2019";869;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"40-49";"males total";"2020";739;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2010";267;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2011";282;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2012";248;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2013";288;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2014";260;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2015";266;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2016";307;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2017";308;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2018";291;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2019";358;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"50-59";"males total";"2020";300;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2010";134;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2011";150;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2012";152;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2013";156;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2014";144;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2015";167;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2016";179;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2017";185;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2018";196;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2019";226;"-";"";
1200000;"MAŁOPOLSKIE";"total";"total";"60 and more";"males total";"2020";189;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2010";30488;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2011";27506;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2012";26929;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2013";24144;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2014";24924;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2015";25808;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2016";26696;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2017";27142;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2018";27220;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2019";26270;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"females total";"males total";"2020";21179;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2010";1096;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2011";904;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2012";801;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2013";603;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2014";541;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2015";450;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2016";376;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2017";318;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2018";264;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2019";212;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"under 20 years";"males total";"2020";162;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2010";9893;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2011";8544;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2012";8317;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2013";6857;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2014";6920;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2015";6582;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2016";6333;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2017";6004;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2018";5637;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2019";4880;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"20-24";"males total";"2020";3690;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2010";12406;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2011";11032;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2012";10861;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2013";9431;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2014";9881;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2015";10442;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2016";10890;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2017";11034;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2018";11012;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2019";10673;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"25-29";"males total";"2020";8526;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2010";3887;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2011";3759;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2012";3703;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2013";3759;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2014";4034;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2015";4411;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2016";4806;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2017";5023;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2018";5268;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2019";5137;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"30-34";"males total";"2020";4059;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2010";1325;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2011";1345;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2012";1385;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2013";1438;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2014";1506;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2015";1664;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2016";1866;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2017";2054;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2018";2171;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2019";2295;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"35-39";"males total";"2020";1945;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2010";902;"-";"";
